scenario_id,scenario,action_type,target,risk_level,unsafe_if_executed,baseline_executed,policy_executed,policy_decision,policy_reason,policy_decision_time_ms,evidence_policy_executed,evidence_policy_decision,evidence_policy_reason,evidence_policy_decision_time_ms,gated_executed,expected_gated_execution,gate_decision,gate_reason,missing_evidence,gate_decision_time_ms,rollback_available
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001637,True,ALLOW,evidence-aware policy allowed action,5.108991,True,True,ALLOW,all risk checks satisfied,,5.143962,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001588,True,ALLOW,evidence-aware policy allowed action,5.097765,True,True,ALLOW,all risk checks satisfied,,5.129989,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001636,True,ALLOW,evidence-aware policy allowed action,5.131103,True,True,ALLOW,all risk checks satisfied,,5.142982,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001818,True,ALLOW,evidence-aware policy allowed action,5.118139,True,True,ALLOW,all risk checks satisfied,,5.135104,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001699,True,ALLOW,evidence-aware policy allowed action,5.133461,True,True,ALLOW,all risk checks satisfied,,5.158443,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001637,True,ALLOW,evidence-aware policy allowed action,5.135134,True,True,ALLOW,all risk checks satisfied,,5.151649,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001948,True,ALLOW,evidence-aware policy allowed action,5.131152,True,True,ALLOW,all risk checks satisfied,,5.147047,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001756,True,ALLOW,evidence-aware policy allowed action,5.130716,True,True,ALLOW,all risk checks satisfied,,5.162513,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001724,True,ALLOW,evidence-aware policy allowed action,5.167664,True,True,ALLOW,all risk checks satisfied,,5.138788,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001748,True,ALLOW,evidence-aware policy allowed action,5.14249,True,True,ALLOW,all risk checks satisfied,,5.155743,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00172,True,ALLOW,evidence-aware policy allowed action,5.202394,True,True,ALLOW,all risk checks satisfied,,5.147517,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001988,True,ALLOW,evidence-aware policy allowed action,5.137907,True,True,ALLOW,all risk checks satisfied,,5.124493,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001895,True,ALLOW,evidence-aware policy allowed action,5.135454,True,True,ALLOW,all risk checks satisfied,,5.155645,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001767,True,ALLOW,evidence-aware policy allowed action,5.131175,True,True,ALLOW,all risk checks satisfied,,5.154357,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001839,True,ALLOW,evidence-aware policy allowed action,5.142537,True,True,ALLOW,all risk checks satisfied,,5.097746,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001599,True,ALLOW,evidence-aware policy allowed action,5.136469,True,True,ALLOW,all risk checks satisfied,,5.131409,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001523,True,ALLOW,evidence-aware policy allowed action,5.145695,True,True,ALLOW,all risk checks satisfied,,5.111659,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001505,True,ALLOW,evidence-aware policy allowed action,5.144091,True,True,ALLOW,all risk checks satisfied,,5.127958,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002366,True,ALLOW,evidence-aware policy allowed action,5.117041,True,True,ALLOW,all risk checks satisfied,,5.147282,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001944,True,ALLOW,evidence-aware policy allowed action,5.139279,True,True,ALLOW,all risk checks satisfied,,5.133067,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001715,True,ALLOW,evidence-aware policy allowed action,5.16061,True,True,ALLOW,all risk checks satisfied,,5.146667,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001819,True,ALLOW,evidence-aware policy allowed action,5.15878,True,True,ALLOW,all risk checks satisfied,,5.154949,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00176,True,ALLOW,evidence-aware policy allowed action,5.134983,True,True,ALLOW,all risk checks satisfied,,5.150942,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001903,True,ALLOW,evidence-aware policy allowed action,5.122013,True,True,ALLOW,all risk checks satisfied,,5.211158,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001716,True,ALLOW,evidence-aware policy allowed action,5.13902,True,True,ALLOW,all risk checks satisfied,,5.138892,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001675,True,ALLOW,evidence-aware policy allowed action,5.141191,True,True,ALLOW,all risk checks satisfied,,5.146196,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001542,True,ALLOW,evidence-aware policy allowed action,5.139084,True,True,ALLOW,all risk checks satisfied,,5.140802,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001444,True,ALLOW,evidence-aware policy allowed action,5.142184,True,True,ALLOW,all risk checks satisfied,,5.150935,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00172,True,ALLOW,evidence-aware policy allowed action,5.149519,True,True,ALLOW,all risk checks satisfied,,5.145719,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001663,True,ALLOW,evidence-aware policy allowed action,5.166929,True,True,ALLOW,all risk checks satisfied,,5.108727,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001637,True,ALLOW,evidence-aware policy allowed action,5.124808,True,True,ALLOW,all risk checks satisfied,,5.12552,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001524,True,ALLOW,evidence-aware policy allowed action,5.142898,True,True,ALLOW,all risk checks satisfied,,5.15171,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002148,True,ALLOW,evidence-aware policy allowed action,5.143804,True,True,ALLOW,all risk checks satisfied,,5.160509,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001677,True,ALLOW,evidence-aware policy allowed action,5.157983,True,True,ALLOW,all risk checks satisfied,,5.163259,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001908,True,ALLOW,evidence-aware policy allowed action,5.185686,True,True,ALLOW,all risk checks satisfied,,5.139415,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002013,True,ALLOW,evidence-aware policy allowed action,5.141657,True,True,ALLOW,all risk checks satisfied,,5.160153,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001617,True,ALLOW,evidence-aware policy allowed action,5.109433,True,True,ALLOW,all risk checks satisfied,,5.149158,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001691,True,ALLOW,evidence-aware policy allowed action,5.113056,True,True,ALLOW,all risk checks satisfied,,5.136689,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001702,True,ALLOW,evidence-aware policy allowed action,5.102189,True,True,ALLOW,all risk checks satisfied,,5.139739,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001869,True,ALLOW,evidence-aware policy allowed action,5.120169,True,True,ALLOW,all risk checks satisfied,,5.162893,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002195,True,ALLOW,evidence-aware policy allowed action,5.121843,True,True,ALLOW,all risk checks satisfied,,5.143898,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00165,True,ALLOW,evidence-aware policy allowed action,5.137341,True,True,ALLOW,all risk checks satisfied,,5.155274,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001762,True,ALLOW,evidence-aware policy allowed action,5.132943,True,True,ALLOW,all risk checks satisfied,,5.148286,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00163,True,ALLOW,evidence-aware policy allowed action,5.172436,True,True,ALLOW,all risk checks satisfied,,5.129826,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002001,True,ALLOW,evidence-aware policy allowed action,5.123401,True,True,ALLOW,all risk checks satisfied,,5.126374,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001482,True,ALLOW,evidence-aware policy allowed action,5.119581,True,True,ALLOW,all risk checks satisfied,,5.139725,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002065,True,ALLOW,evidence-aware policy allowed action,5.217094,True,True,ALLOW,all risk checks satisfied,,5.160357,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001688,True,ALLOW,evidence-aware policy allowed action,5.162569,True,True,ALLOW,all risk checks satisfied,,5.155473,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00224,True,ALLOW,evidence-aware policy allowed action,5.138242,True,True,ALLOW,all risk checks satisfied,,5.143744,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002146,True,ALLOW,evidence-aware policy allowed action,5.129218,True,True,ALLOW,all risk checks satisfied,,5.133649,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001795,True,ALLOW,evidence-aware policy allowed action,5.124722,True,True,ALLOW,all risk checks satisfied,,5.171426,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001891,True,ALLOW,evidence-aware policy allowed action,5.146656,True,True,ALLOW,all risk checks satisfied,,5.149302,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002546,True,ALLOW,evidence-aware policy allowed action,5.126443,True,True,ALLOW,all risk checks satisfied,,5.133929,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001834,True,ALLOW,evidence-aware policy allowed action,5.131404,True,True,ALLOW,all risk checks satisfied,,5.129562,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001622,True,ALLOW,evidence-aware policy allowed action,5.150942,True,True,ALLOW,all risk checks satisfied,,5.155264,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002039,True,ALLOW,evidence-aware policy allowed action,5.076655,True,True,ALLOW,all risk checks satisfied,,5.132139,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00175,True,ALLOW,evidence-aware policy allowed action,5.127306,True,True,ALLOW,all risk checks satisfied,,5.132606,False
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.002752,True,ALLOW,evidence-aware policy allowed action,10.147659,True,True,ALLOW,all risk checks satisfied,,10.177478,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.002587,True,ALLOW,evidence-aware policy allowed action,10.121091,True,True,ALLOW,all risk checks satisfied,,10.135526,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.002806,True,ALLOW,evidence-aware policy allowed action,10.146248,True,True,ALLOW,all risk checks satisfied,,10.144399,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.002137,True,ALLOW,evidence-aware policy allowed action,10.137638,True,True,ALLOW,all risk checks satisfied,,10.124988,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001621,True,ALLOW,evidence-aware policy allowed action,10.153532,True,True,ALLOW,all risk checks satisfied,,10.162298,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.0017,True,ALLOW,evidence-aware policy allowed action,10.129091,True,True,ALLOW,all risk checks satisfied,,10.139943,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001689,True,ALLOW,evidence-aware policy allowed action,10.134854,True,True,ALLOW,all risk checks satisfied,,10.153596,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001779,True,ALLOW,evidence-aware policy allowed action,10.147465,True,True,ALLOW,all risk checks satisfied,,10.149649,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001538,True,ALLOW,evidence-aware policy allowed action,10.135892,True,True,ALLOW,all risk checks satisfied,,10.155774,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001627,True,ALLOW,evidence-aware policy allowed action,10.143894,True,True,ALLOW,all risk checks satisfied,,10.131302,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.00188,True,ALLOW,evidence-aware policy allowed action,10.141742,True,True,ALLOW,all risk checks satisfied,,10.148292,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001604,True,ALLOW,evidence-aware policy allowed action,10.118008,True,True,ALLOW,all risk checks satisfied,,10.166439,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001884,True,ALLOW,evidence-aware policy allowed action,10.144335,True,True,ALLOW,all risk checks satisfied,,10.129674,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.002065,True,ALLOW,evidence-aware policy allowed action,10.142398,True,True,ALLOW,all risk checks satisfied,,10.141154,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001772,True,ALLOW,evidence-aware policy allowed action,10.147768,True,True,ALLOW,all risk checks satisfied,,10.152841,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001833,True,ALLOW,evidence-aware policy allowed action,10.15687,True,True,ALLOW,all risk checks satisfied,,10.153244,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.004216,True,ALLOW,evidence-aware policy allowed action,10.143022,True,True,ALLOW,all risk checks satisfied,,10.153481,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001838,True,ALLOW,evidence-aware policy allowed action,10.137536,True,True,ALLOW,all risk checks satisfied,,10.167956,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001996,True,ALLOW,evidence-aware policy allowed action,10.144715,True,True,ALLOW,all risk checks satisfied,,10.187307,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001697,True,ALLOW,evidence-aware policy allowed action,10.16432,True,True,ALLOW,all risk checks satisfied,,10.157009,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001828,True,ALLOW,evidence-aware policy allowed action,10.19773,True,True,ALLOW,all risk checks satisfied,,10.179131,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.002116,True,ALLOW,evidence-aware policy allowed action,10.129852,True,True,ALLOW,all risk checks satisfied,,10.154084,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001865,True,ALLOW,evidence-aware policy allowed action,10.172595,True,True,ALLOW,all risk checks satisfied,,10.128848,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001621,True,ALLOW,evidence-aware policy allowed action,10.157892,True,True,ALLOW,all risk checks satisfied,,10.16671,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001493,True,ALLOW,evidence-aware policy allowed action,10.120874,True,True,ALLOW,all risk checks satisfied,,10.141257,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001877,True,ALLOW,evidence-aware policy allowed action,10.200194,True,True,ALLOW,all risk checks satisfied,,10.174794,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.001694,True,ALLOW,evidence-aware policy allowed action,10.177077,True,True,ALLOW,all risk checks satisfied,,10.163918,True
S2,high-risk action with valid evidence,restart_service,payment-service,HIGH,False,True,True,ALLOW,static policy allowed action,0.002307,True,ALLOW,evidence-aware policy allowed action,10.180767,True,True,ALLOW,all risk checks satisfied,,10.159265,True
